page,label_object,en,vn,,,
login,login_hello_label,,Xin Chào!,,,
login,login_phone_number_label,,Số điện thoại:,,,
login,login_phone_number_hind_text,,Nhập số điện thoại,,,
login,login_password_label,,Mật khẩu:,,,
login,login_password_hind_text,,Nhập mật khẩu,,,
login,login_button,,Đăng nhập,,,
login,login_error_phone_number_null,Phone number is required.,Số điện thoại không được bỏ trống. ,,,
login,login_error_phone_number_invalid,Phone number is invalid. Please try again.,Số điện thoại không hợp lệ. Vui lòng thử lại.,,,
login,login_error_password_null,Password is required.,Mật khẩu không được bỏ trống. ,,,
login,login_error_password_incorrect,Invalid login. Please try again.,Thông tin đăng nhập không chính xác. Vui lòng kiểm tra lại.,,,
login,login_error_password_less_than_8_char,Password must be at least 8 characters.,Mật khẩu phải ít nhất 8 ký tự.,,,
login,login_error_password_more_than_20_char,Password must be less than 20 characters.,Mật khẩu không nhiều hơn 20 ký tự.,,,
navigation,navigation_export_excel_button_label,,Xuất Excel,,,
navigation,navigation_export_excel_popup_desc,,Bạn đã chọn Xuất Excel File Excel sẽ được gửi tới email của bạn sau ít phút!,,,
navigation,navigation_export_excel_popup_button,,OK,,,
navigation,navigation_logout_button_label,,Đăng xuất,,,
navigation,navigation_left_menu_order_tab,,Đơn Hàng,,,
navigation,navigation_left_menu_account_tab,,Kế Toán,,,
navigation,navigation_left_menu_buyer_tab,,Người Mua,,,
navigation,navigation_left_menu_commission_sub_tab,,Hoa Hồng,,,
navigation,navigation_left_menu_commission_on_kitchen_sub_tab,,Theo Bếp,,,
navigation,navigation_left_menu_commission_on_order_sub_tab,,Theo Đơn Hàng,,,
navigation,navigation_left_menu_kitchen_tab,,Bếp,,,
navigation,navigation_left_menu_kitchen_alias_sub_tab,,Bếp Đối Tác,,,
navigation,navigation_left_menu_brand_sub_tab,,Thương Hiệu,,,
navigation,navigation_left_menu_setting_tab,,Cài Đặt,,,
order_list,order_list_breadcrumbs_label,,Đơn hàng,,,
order_list,order_list_from_label,,Từ:,,,
order_list,order_list_to_label,,Đến:,,,
order_list,order_list_advanced_filter_label,,Lọc nâng cao,,,
order_list,order_list_status_filter_label,,Tình trạng:,,,
order_list,order_list_order_source_filter_label,,Nguồn đơn:,,,
order_list,order_list_view_test_order_filter_label,,Xem đơn Test,,,
order_list,order_list_column_created_date_time_label,,Ngày Giờ đặt hàng (mm/dd/yyyy hh:mm),,,
order_list,order_list_column_order_id_label,,Mã ĐH,,,
order_list,order_list_column_fooder_id_label,,FOODER ID,,,
order_list,order_list_column_buyer_phone_label,,Tên SĐT người mua,,,
order_list,order_list_column_completed_date_time_label,,Ngày Giờ hoàn thành (mm/dd/yyyy hh:mm),,,
order_list,order_list_column_status_label,,Tình trạng,,,
order_list,order_list_column_total_after_promo_n_delivery_fee_label,,Tổng tiền sau Khuyến mãi và Phí giao hàng,,,
order_list,order_list_column_delivery_provider_label,,Đơn vị Giao hàng,,,
order_list,order_list_column_brand_label,,Thương hiệu,,,
order_list,order_list_column_internal_note_label,,Ghi chú nội bộ,,,
order_detail,order_detail_breadcrumbs_label,,Đơn hàng >,,,
order_detail,order_detail_item_label,,Món Ăn:,,,
order_detail,order_detail_note_label,,Ghi Chú:,,,
order_detail,order_detail_total_after_promo_n_delivery_fee_label,,Tổng tiền (sau Khuyến mãi và Phí Giao hàng):,,,
order_detail,order_detail_internal_note_label,,Ghi chú nội bộ:,,,
order_detail,order_detail_buyer_label,,Người mua:,,,
order_detail,order_detail_buyer_phone_label,,Số ĐT người mua:,,,
order_detail,order_detail_delivery_address_label,,Địa chỉ giao hàng:,,,
order_detail,order_detail_total_before_promo_label,,Tiền đồ ăn (chưa Khuyến mãi):,,,
order_detail,order_detail_promo_label,,Khuyến mãi:,,,
order_detail,order_detail_delivery_fee_label,,Phí giao hàng (người mua trả):,,,
order_detail,order_detail_right_side_total_after_promo_n_delivery_fee_label,,Tổng tiền (sau Khuyến mãi và Phí giao hàng):,,,
order_detail,order_detail_status_label,,Tình trạng:,,,
order_detail,order_detail_order_date_time_label,,Ngày Giờ đặt hàng:,,,
